Title,Title_URL,Field1,Time
OPPO A72,https://www.phonearena.com/phones/OPPO-A72_id11611,Released,"Apr 29, 2020"
OPPO A72,https://www.phonearena.com/phones/OPPO-A72_id11611,Display,"6.5 inches
2400 x 1080 pixels
"
OPPO A72,https://www.phonearena.com/phones/OPPO-A72_id11611,Camera,"48 MP (Quad camera)
16 MP front"
OPPO A72,https://www.phonearena.com/phones/OPPO-A72_id11611,Hardware,"Snapdragon 665
4GB RAM"
OPPO A72,https://www.phonearena.com/phones/OPPO-A72_id11611,Storage,"128GB, microSDXC"
OPPO A72,https://www.phonearena.com/phones/OPPO-A72_id11611,Battery,5000 mAh
OPPO A72,https://www.phonearena.com/phones/OPPO-A72_id11611,OS,"Android 10
ColorOS 7.1 UI"
OPPO Find X2 Lite,https://www.phonearena.com/phones/OPPO-Find-X2-Lite_id11608,Released,"May 21, 2020"
OPPO Find X2 Lite,https://www.phonearena.com/phones/OPPO-Find-X2-Lite_id11608,Display,"6.4 inches
2400 x 1080 pixels
"
OPPO Find X2 Lite,https://www.phonearena.com/phones/OPPO-Find-X2-Lite_id11608,Camera,"48 MP (Quad camera)
32 MP front"
OPPO Find X2 Lite,https://www.phonearena.com/phones/OPPO-Find-X2-Lite_id11608,Hardware,"Qualcomm Snapdragon 765G
8GB RAM"
OPPO Find X2 Lite,https://www.phonearena.com/phones/OPPO-Find-X2-Lite_id11608,Storage,"128GB, not expandable"
OPPO Find X2 Lite,https://www.phonearena.com/phones/OPPO-Find-X2-Lite_id11608,Battery,4025 mAh
OPPO Find X2 Lite,https://www.phonearena.com/phones/OPPO-Find-X2-Lite_id11608,OS,"Android 10
ColorOS 7 UI"
OPPO Find X2 Neo,https://www.phonearena.com/phones/OPPO-Find-X2-Neo_id11607,Released,"May 21, 2020"
OPPO Find X2 Neo,https://www.phonearena.com/phones/OPPO-Find-X2-Neo_id11607,Display,"6.5 inches
2400 x 1080 pixels
90Hz Refresh rate"
OPPO Find X2 Neo,https://www.phonearena.com/phones/OPPO-Find-X2-Neo_id11607,Camera,"48 MP (Quad camera)
32 MP front"
OPPO Find X2 Neo,https://www.phonearena.com/phones/OPPO-Find-X2-Neo_id11607,Hardware,"Qualcomm Snapdragon 765G
12GB RAM"
OPPO Find X2 Neo,https://www.phonearena.com/phones/OPPO-Find-X2-Neo_id11607,Storage,"256GB, not expandable"
OPPO Find X2 Neo,https://www.phonearena.com/phones/OPPO-Find-X2-Neo_id11607,Battery,4025 mAh
OPPO Find X2 Neo,https://www.phonearena.com/phones/OPPO-Find-X2-Neo_id11607,OS,"Android 10
ColorOS 7 UI"
Apple iPhone SE (2020),https://www.phonearena.com/phones/Apple-iPhone-SE-2020_id10750,Released,"Apr 24, 2020"
Apple iPhone SE (2020),https://www.phonearena.com/phones/Apple-iPhone-SE-2020_id10750,Display,"4.7 inches
1334 x 750 pixels
"
Apple iPhone SE (2020),https://www.phonearena.com/phones/Apple-iPhone-SE-2020_id10750,Camera,"12 MP (Single camera)
7 MP front"
Apple iPhone SE (2020),https://www.phonearena.com/phones/Apple-iPhone-SE-2020_id10750,Hardware,"Apple A13 Bionic
3GB RAM"
Apple iPhone SE (2020),https://www.phonearena.com/phones/Apple-iPhone-SE-2020_id10750,Storage,"64GB, not expandable"
Apple iPhone SE (2020),https://www.phonearena.com/phones/Apple-iPhone-SE-2020_id10750,Battery,1821 mAh
Apple iPhone SE (2020),https://www.phonearena.com/phones/Apple-iPhone-SE-2020_id10750,OS,"iOS 15.x
"
